,subid,uuid,gender,test_trial,age_in_years,option1,option2,trial_audio,selected_image,lang,parent_mask,peer_mask,own_mask
39,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,27-null,3.978082192,scared1,angry5_2,Angry_1_pause_2,option1,en fr,Often,Often,Often
40,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,28-null,3.978082192,happy5,angry2,Angry_2_pause_2,option2,en fr,Often,Often,Often
41,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,29-null,3.978082192,sad2_2,scared3,Scared_1_pause_2,option1,en fr,Often,Often,Often
42,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,30-null,3.978082192,angry4,sad3,Angry_1_pause_2,option1,en fr,Often,Often,Often
43,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,31-null,3.978082192,sad6,happy5,Happy_1_pause_2,option2,en fr,Often,Often,Often
44,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,32-null,3.978082192,happy1,scared5,Scared_2_pause_2,option2,en fr,Often,Often,Often
45,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,33-null,3.978082192,happy4,angry6,Happy_2_pause_2,option1,en fr,Often,Often,Often
46,58562,ce490007-4e23-495a-a7d1-5a999f7b855e,m,34-null,3.978082192,scared2,happy6,Scared_1_pause_2,option1,en fr,Often,Often,Often
47,58564,74543757-500e-47cb-a376-28a98b5ca447,m,11-null,3.947945205,angry5_2,sad2_2,Sad_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
48,58564,74543757-500e-47cb-a376-28a98b5ca447,m,12-null,3.947945205,happy5,angry1_2,Happy_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
49,58564,74543757-500e-47cb-a376-28a98b5ca447,m,13-null,3.947945205,happy1,sad6,Sad_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
50,58564,74543757-500e-47cb-a376-28a98b5ca447,m,14-null,3.947945205,angry6,sad4,Sad_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
51,58564,74543757-500e-47cb-a376-28a98b5ca447,m,16-null,3.947945205,happy6,angry4,Happy_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
52,58564,74543757-500e-47cb-a376-28a98b5ca447,m,17-null,3.947945205,angry2,scared1,Scared_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
53,58564,74543757-500e-47cb-a376-28a98b5ca447,m,18-null,3.947945205,scared5,sad3,Sad_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
54,58564,74543757-500e-47cb-a376-28a98b5ca447,m,19-null,3.947945205,happy3_2,scared3,Scared_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
55,58564,74543757-500e-47cb-a376-28a98b5ca447,m,20-null,3.947945205,sad1_2,scared5,Scared_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
56,58564,74543757-500e-47cb-a376-28a98b5ca447,m,21-null,3.947945205,angry5_2,scared3,Angry_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
57,58564,74543757-500e-47cb-a376-28a98b5ca447,m,22-null,3.947945205,angry2,happy2,Angry_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
58,58564,74543757-500e-47cb-a376-28a98b5ca447,m,23-null,3.947945205,sad2_2,happy1,Happy_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
59,58564,74543757-500e-47cb-a376-28a98b5ca447,m,24-null,3.947945205,sad1_2,happy6,Sad_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
60,58564,74543757-500e-47cb-a376-28a98b5ca447,m,25-null,3.947945205,happy3_2,sad3,Happy_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
61,58564,74543757-500e-47cb-a376-28a98b5ca447,m,26-null,3.947945205,angry3,sad4,Angry_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
62,58564,74543757-500e-47cb-a376-28a98b5ca447,m,27-null,3.947945205,scared1,sad5,Sad_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
63,58564,74543757-500e-47cb-a376-28a98b5ca447,m,28-null,3.947945205,scared6,happy4,Scared_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
64,58564,74543757-500e-47cb-a376-28a98b5ca447,m,29-null,3.947945205,angry6,happy5,Angry_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
65,58564,74543757-500e-47cb-a376-28a98b5ca447,m,30-null,3.947945205,happy4,scared4,Happy_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
66,58564,74543757-500e-47cb-a376-28a98b5ca447,m,31-null,3.947945205,angry4,sad6,Angry_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
67,58564,74543757-500e-47cb-a376-28a98b5ca447,m,32-null,3.947945205,sad5,scared2,Scared_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
68,58564,74543757-500e-47cb-a376-28a98b5ca447,m,33-null,3.947945205,scared6,happy2,Happy_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
69,58564,74543757-500e-47cb-a376-28a98b5ca447,m,34-null,3.947945205,angry3,scared4,Scared_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
70,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,11-null,2.704109589,angry4,sad1_2,Sad_2_pause_2,option1,en,Often,Sometimes,Rarely
71,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,12-null,2.704109589,happy3_2,sad4,Sad_2_pause_2,option2,en,Often,Sometimes,Rarely
72,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,13-null,2.704109589,happy6,angry6,Angry_1_pause_2,option2,en,Often,Sometimes,Rarely
73,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,14-null,2.704109589,scared1,happy2,Scared_1_pause_2,option1,en,Often,Sometimes,Rarely
74,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,16-null,2.704109589,scared2,sad2_2,Scared_1_pause_2,option1,en,Often,Sometimes,Rarely
75,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,17-null,2.704109589,happy4,scared3,Happy_2_pause_2,option1,en,Often,Sometimes,Rarely
76,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,18-null,2.704109589,happy2,angry6,Happy_2_pause_2,option1,en,Often,Sometimes,Rarely
77,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,19-null,2.704109589,angry5_2,sad4,Angry_2_pause_2,option1,en,Often,Sometimes,Rarely
78,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,20-null,2.704109589,happy1,angry1_2,Happy_1_pause_2,option1,en,Often,Sometimes,Rarely
79,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,21-null,2.704109589,angry4,scared4,Angry_1_pause_2,option1,en,Often,Sometimes,Rarely
80,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,22-null,2.704109589,angry1_2,sad3,Angry_2_pause_2,I_dont_know,en,Often,Sometimes,Rarely
81,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,23-null,2.704109589,happy4,sad3,Sad_1_pause_2,option2,en,Often,Sometimes,Rarely
82,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,24-null,2.704109589,scared6,happy3_2,Happy_2_pause_2,option2,en,Often,Sometimes,Rarely
83,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,25-null,2.704109589,sad1_2,scared4,Scared_2_pause_2,I_dont_know,en,Often,Sometimes,Rarely
